job_id,resource_id,score
403,175,0.41894028
403,1,0.37343574
403,95,0.320311
403,400,0.5704699
403,379,0.58287394
403,156,0.21038425
403,436,0.53483313
403,624,0.62393767
403,621,0.38696083
403,460,0.57719463
403,886,0.42522097
403,108,0.3281433
403,591,0.15972212
403,298,0.4064979
403,459,0.3113859
403,739,0.28332716
403,704,0.2150908
403,647,0.29776952
403,855,0.25277907
403,143,0.4621229
403,178,0.5121947
403,819,0.3263601
403,571,0.47616917
403,352,0.22615002
403,857,0.4431978
403,330,0.42654413
403,428,0.38606033
403,895,0.42301172
403,927,0.420987
403,889,0.39626566
403,790,0.44960818
403,685,0.52107555
403,769,0.51311624
403,380,0.21304992
403,526,0.3539158
403,318,0.44907498
403,348,0.30040273
403,80,0.45645827
403,856,0.45254043
403,680,0.3166024
403,729,0.377582
403,195,0.3060196
403,900,0.38421577
403,774,0.4168548
403,938,0.4365029
403,638,0.43492043
403,650,0.20064186
403,749,0.43092096
403,140,0.24494044
403,579,0.39455533
403,236,0.40415984
403,793,0.39836973
403,626,0.42693406
403,785,0.44017914
403,6,0.41766
403,340,0.48909494
403,492,0.35518557
403,802,0.43711448
403,847,0.32037184
403,443,0.37961784
403,890,0.4294574
403,630,0.49119723
403,563,0.51001644
403,586,0.31477883
403,698,0.43358654
403,786,0.4929285
403,820,0.36070353
403,309,0.363837
403,691,0.25994873
403,772,0.23679206
403,849,0.32210928
403,776,0.39086768
403,671,0.2645709
403,342,0.36148182
403,504,0.37498385
403,391,0.37522057
403,92,0.19958527
403,581,0.47869813
403,49,0.1688363
403,557,0.42860335
403,162,0.27411503
403,848,0.35332176
403,288,0.26966372
403,778,0.52274334
403,902,0.30550495
403,963,0.40438408
403,642,0.4692477
403,193,0.4794823
403,354,0.45202652
403,423,0.31519336
403,940,0.49138403
403,89,0.3882495
403,894,0.14336786
403,606,0.35990524
403,395,0.3796365
403,674,0.31143326
403,53,0.4294625
403,668,0.4822847
403,822,0.44591293
403,450,0.3333428
656,175,0.36675662
656,1,0.3452146
656,95,0.23104635
656,400,0.25830692
656,379,0.30905935
656,156,0.24064398
656,436,0.26913804
656,624,0.3654827
656,621,0.40069902
656,460,0.41707295
656,886,0.3656274
656,108,0.46395037
656,591,0.3800095
656,298,0.3048036
656,459,0.3709941
656,739,0.11871466
656,704,0.03596545
656,647,0.242571
656,855,0.33521494
656,143,0.3127894
656,178,0.18923248
656,819,0.3213011
656,571,0.350098
656,352,0.20278029
656,857,0.4398454
656,330,0.3016332
656,428,0.25551373
656,895,0.29927552
656,927,0.3458957
656,889,0.396953
656,790,0.23741817
656,685,0.43356627
656,769,0.3265078
656,380,0.3630997
656,526,0.33020014
656,318,0.31407306
656,348,0.28716415
656,80,0.354456
656,856,0.33051655
656,680,0.24008875
656,729,0.2895308
656,195,0.20292848
656,900,0.27390087
656,774,0.264364
656,938,0.18939573
656,638,0.39857382
656,650,0.07529215
656,749,0.26007074
656,140,0.21865946
656,579,0.44749153
656,236,0.22254969
656,793,0.30590755
656,626,0.39462322
656,785,0.25350475
656,6,0.24951735
656,340,0.28883535
656,492,0.28527412
656,802,0.26772478
656,847,0.28932017
656,443,0.22567558
